sitename,lon,lat,elv,year_start,year_end,canopy_height,reference_height,koeppen_code,igbp_land_use,whc,product,c3c4,mat,p_over_pet
CZ-KrP,15.078773,49.573257,531,2014,2020,0.8930252772826303,2.9244699090980473,Cfb,CRO,215.42469787597656,icos_warmwinter2020,NA,10.294486790479494,0.9599738650981486
CZ-Lnz,16.946331,48.68155,150,2015,2020,29,60.325,Dfb,MF,218.02980041503906,icos_warmwinter2020,C3,12.39546711621415,0.6825417299077091
CZ-RAJ,16.6965125,49.4437236,628,2012,2020,12.444598754835717,19.085428571428572,Dfb,ENF,240.9299774169922,icos_warmwinter2020,C3,8.936512581690643,1.029933394273228
CZ-Stn,17.9699,49.035975,576,2010,2020,23.183333333333334,51.13970588235294,Dfb,DBF,234.6613311767578,icos_warmwinter2020,C3,9.746286804821548,0.9422225102997314
CZ-wet,14.770350456237793,49.02465057373047,426,2006,2020,1,2.6,Cfb,WET,188.04153442382812,icos_warmwinter2020,C3,10.64272239702385,0.7763128227711371
DE-Akm,13.68341667,53.86616667,-2,2009,2020,2.596904761904762,9.5,Cfb,WET,900.4317626953125,icos_warmwinter2020,C3,10.614350499231684,1.0971034086515739
DE-Bay,11.866939544677734,50.14194107055664,781,1997,1999,25,55.14705882352941,Cfb,ENF,241.64183044433594,plumber,NA,6.794663488629541,2.1574961083398603
DE-Geb,10.91463,51.09973,161.5,2001,2020,1,3.6086923076923076,Cfb,CRO,186.36428833007812,icos_warmwinter2020,C3,11.148483308956552,0.9727387913063134
DE-Gri,13.51259,50.95004,385,2004,2020,0.699999988079071,1.5441176207626568,Cfb,GRA,232.6336669921875,icos_warmwinter2020,C3,10.616357435559959,1.4230167323329737
DE-Hai,10.452089,51.079407,438.7,2000,2020,33,72.79411764705883,Cfb,DBF,190.60711669921875,icos_warmwinter2020,C3,9.007815062629614,1.1941925000540314
DE-HoH,11.22235,52.08656,193,2015,2020,19.4375,42.87683823529412,Cfb,DBF,219.05535888671875,icos_warmwinter2020,C3,10.827203284926554,0.7170186193201866
DE-Hte,12.176111,54.210278,4,2009,2018,2.596904761904762,5.059687523841858,Cfb,WET,208.72718811035156,icos_drought2018,C3,10.342489567906847,1.1809613718483212
DE-Hzd,13.48978,50.96381,395,2010,2020,23.183333333333334,51.13970588235294,Dfb,DBF,226.39588928222656,icos_warmwinter2020,C3,10.640105310727005,1.061906516669079
DE-Kli,13.52238,50.89306,478,2004,2020,1.5,3.5,Cfb,CRO,192.32388305664062,icos_warmwinter2020,C3,9.293830083874727,1.4423365132068775
DE-Meh,10.65546989440918,51.27531051635742,291,2004,2006,1,3,Cfb,MF,190.88877868652344,plumber,NA,9.924455345017066,1.05543040460022
DE-Obe,13.72128963470459,50.786659240722656,734,2008,2020,19,30,Cfb,ENF,232.6336669921875,icos_warmwinter2020,C3,7.4682890505115855,1.8998477816071004
DE-RuR,6.304126,50.621914,514.7,2011,2020,0.47078062298103396,1.038486668340516,Cfb,GRA,246.34127807617188,icos_warmwinter2020,C3,9.268116607798538,1.492628263323465
DE-RuS,6.4471445,50.865906,103.2,2011,2020,0.8930252772826303,2.455,Cfb,CRO,216.4841766357422,icos_warmwinter2020,C3,12.728151228504252,0.8494569242159955
DE-RuW,6.3309627,50.50493,610,2012,2020,15.01866664759318,25.73499988555908,Cfb,ENF,237.6573486328125,icos_warmwinter2020,C3,8.63269658913328,1.810323651362198
DE-Seh,6.449649810791016,50.87062454223633,103,2008,2010,0.800000011920929,2,Cfb,CRO,216.4841766357422,plumber,C3,10.19747185649943,1.3346047171306452
DE-SfN,11.327500343322754,47.80638885498047,590,2013,2014,2,4.300000190734863,Cfb,WET,1114.90185546875,plumber,C3,10.242259695825304,1.318721503746127
DE-Tha,13.56515,50.96256,380,1996,2020,26.5,42,Cfb,ENF,240.72471618652344,icos_warmwinter2020,C3,9.88516778240855,1.1506722198759782
DE-Wet,11.45753002166748,50.45349884033203,703,2002,2006,22,48.529411764705884,Cfb,ENF,235.99951171875,plumber,NA,6.85568481937118,2.367851440605332
DK-Fou,9.587220191955566,56.48419952392578,51,2005,2005,1,3.5,Cfb,CRO,202.92849731445312,plumber,C3,9.357466119353026,1.2544514110359164
DK-Gds,9.3341,56.0737,89,2020,2020,12.444598754835717,19.085428571428572,Dfb,ENF,236.9896697998047,icos_warmwinter2020,C3,8.476463631342966,4.1220771660463225
DK-Lva,12.08329963684082,55.68330001831055,-2493,2005,2006,0.5,1.1029411764705883,Cfb,GRA,207.00318908691406,plumber,NA,9.014476825954807,2.6703371810163157
DK-Ris,12.097220420837402,55.53028106689453,24,2004,2005,1,2,Cfb,CRO,172.05734252929688,plumber,NA,7.726255016901862,2.928960895859379
DK-Sor,11.644645,55.48587,40,1996,2020,25,43.5,Cfb,DBF,166.7314453125,icos_warmwinter2020,C3,9.110810573349303,1.5865937286666238
DK-ZaH,-20.55030059814453,74.47319793701172,38,2000,2013,0.5,1.1029411764705883,ET,GRA,171.7994842529297,plumber,NA,-8.544635166756503,0.5775429801437331
ES-Abr,-6.785881,38.701839,279,2015,2020,8,15,Csa ,SAV,393.9819641113281,icos_warmwinter2020,C3,20.406639869506616,0.32820458565988375
ES-Agu,-2.033208,36.940046,195,2006,2020,1.35,4.275,BSk,OSH,166.910888671875,icos_warmwinter2020,C3,18.803082529800644,0.26882918787066384
ES-Cnd,-3.227659,37.914998,371,2014,2020,2.5,6.400000095367432,Bsk,WSA,488.8213195800781,icos_warmwinter2020,C3,19.642806806297177,0.5813192711060968
ES-ES1,-0.31880998611450195,39.345970153808594,1,1999,2006,7.5,13,Csa,ENF,676.3885131835938,plumber,NA,18.061281364280173,0.5311982120660297
ES-ES2,-0.3152799904346466,39.27555847167969,7,2005,2006,0.5,1.600000023841858,Csa,CRO,673.4434661865234,plumber,NA,18.909522455832523,0.5789435468249144
ES-LJu,-2.752115,36.926594,1622,2004,2020,0.20000000298023224,0.44117647716227704,Csa,OSH,406.2940979003906,icos_warmwinter2020,C3,12.947727144758721,0.6275822600380149
ES-LM1,-5.778683,39.94269,261,2014,2020,8,15,Csa,SAV,341.9933166503906,icos_warmwinter2020,C3,19.40564076230384,0.5451370011686327
ES-LM2,-5.778683,39.94269,261,2014,2020,8,15,Csa,SAV,341.9933166503906,icos_warmwinter2020,C3,19.50064917446702,0.5161768257241396
ES-LMa,-5.773359775543213,39.942691802978516,278,2004,2006,8,15,Csa,SAV,341.9933166503906,plumber,NA,18.046349440696144,0.7168964937249679
ES-LgS,-2.965830087661743,37.09793472290039,2267,2007,2007,0.20000000298023224,0.44117647716227704,Csa,OSH,594.52252197265625,plumber,C3,6.078360936575485,0.41017577057089666
ES-VDA,1.4485000371932983,42.15217971801758,1787,2004,2004,0.5,1.5,Cfb,GRA,193.555419921875,plumber,NA,8.24793714710161,1.3586790098432193
FI-Hyy,24.29477,61.847410000000004,181,1996,2020,14,32.8,Dfc,ENF,243.5284881591797,icos_warmwinter2020,C3,5.031999628061928,1.2379470707644593
FI-Kaa,27.29503059387207,69.14069366455078,159,2000,2002,0.800000011920929,1.7647059086491081,Dfc,WET,209.42454528808594,plumber,NA,0.023848095682784502,2.0924175851930458
FI-Ken,24.24301,67.98721,347,2018,2020,12.444598754835717,19.085428571428572,Dfc,ENF,212.5679473876953,icos_warmwinter2020,C3,1.3148620251093484,3.197524693462152
FI-Let,23.95952,60.64183,125,2009,2020,12.444598754835717,25.7,Dfb,ENF,232.94081115722656,icos_warmwinter2020,C3,6.098136982446656,1.3193402858441954
FI-Lom,24.20918083190918,67.99720001220703,274,2007,2009,0.4000000059604645,0.8823529543245541,Dfc,WET,212.5679473876953,plumber,C3,0.4229734850230186,1.7792960958599782
FI-Qvd,22.391607,60.295242,11,2018,2020,1.9984558823529412,5.7072,Dfb,CRO,184.40321350097656,icos_warmwinter2020,C3,7.8945057985255636,1.8426035925360364
FI-Sii,24.19285,61.83265,160,2016,2020,0.8200000047683715,1.8088235399302315,Dfc,WET,1099.7742919921875,icos_warmwinter2020,C3,5.597366287742534,1.3210492783463672
FI-Sod,26.63783073425293,67.36186218261719,180,2008,2014,12.699999809265137,23,Dfc,ENF,218.66461181640625,plumber,C3,1.3713615222292523,1.7220571435669847
FI-Var,29.61,67.7549,395,2016,2020,12.444598754835717,19.085428571428572,Dfc,ENF,222.59884643554688,icos_warmwinter2020,C3,0.29994067883002484,1.6905349904507412
FR-Aur,1.106103,43.54965,250,2005,2020,0.8930252772826303,2.9244699090980473,Cfb,CRO,225.2197265625,icos_warmwinter2020,C3,15.077776359771756,0.8610262073130054
FR-Bil,-0.95594,44.49389,39,2014,2020,15.01866664759318,25.73499988555908,Cfb,ENF,230.18528747558594,icos_warmwinter2020,C3,15.742843480582486,1.1864547629022495
FR-EM2,3.02065,49.87211,85,2017,2018,0.8930252772826303,2.9244699090980473,Cfb,CRO,157.40341186523438,icos_drought2018,mix,12.366925323326598,0.8441745255902905
FR-FBn,5.67865,43.24079,436,2008,2020,14.420000076293945,27.95,Csa,MF,314.62066650390625,icos_warmwinter2020,C3,15.27776997609833,0.6530362720545946
FR-Fon,2.780096,48.476357,103,2005,2020,24,37,Cfb,DBF,242.46046447753906,icos_warmwinter2020,C3,12.588923826341864,0.8506656618217598
FR-Gri,1.95191,48.84422,125,2004,2020,1,3.4125,Cfb,CRO,252.68057250976562,icos_warmwinter2020,rotation,12.318520876148085,0.9448623817541772
FR-Hes,7.0655598640441895,48.67416000366211,293,1997,2006,13,28.676470588235297,Cfb,DBF,124.46168518066406,plumber,C3,10.43700459356918,1.8110096658794814
FR-LBr,-0.7692999839782715,44.71710968017578,61,2003,2008,20,38,Cfb,ENF,212.5679473876953,plumber,C3,14.446076316316132,1.191663357430779
FR-LGt,2.284102,47.322918,153,2017,2020,2.596904761904762,5.059687523841858,Cfb,WET,278.12701416015625,icos_warmwinter2020,C3,13.17057829335978,0.8952626505788757
