sitename,start_gpp,end_gpp,year_start_gpp,year_end_gpp,nyears_gpp,drop_gpp,start_le,end_le,year_start_le,year_end_le,nyears_le,drop_le,start_lecorr,end_lecorr,year_start_lecorr,year_end_lecorr,nyears_lecorr,drop_lecorr
AU-Wrr,2016-01-01,2017-12-30,2016,2016,1,FALSE,2016-01-01,2017-12-30,2016,2016,1,FALSE,2016-01-01,2017-12-30,2016,2016,1,FALSE
AU-Ync,2011-10-15,2017-12-12,2012,2016,5,FALSE,2011-01-09,2017-12-12,2012,2016,5,FALSE,2011-01-09,2017-12-12,2012,2016,5,FALSE
BE-Bra,2009-01-04,2020-12-30,2010,2020,11,FALSE,2004-01-01,2020-12-30,2004,2020,17,FALSE,2004-01-01,2017-02-03,2004,2016,13,FALSE
BE-Dor,2011-01-01,2020-12-30,2011,2020,10,FALSE,2015-01-06,2018-07-19,2016,2017,2,FALSE,NA,NA,NA,NA,0,TRUE
BE-Lcr,2019-01-01,2020-12-30,2019,2020,2,FALSE,2019-01-01,2020-12-30,2019,2020,2,FALSE,NA,NA,NA,NA,0,TRUE
BE-Lon,2004-04-01,2020-12-30,2005,2020,16,FALSE,2004-04-01,2020-12-30,2005,2020,16,FALSE,2004-04-01,2019-12-12,2005,2018,14,FALSE
BE-Maa,2016-01-01,2020-12-30,2016,2020,5,FALSE,2016-01-01,2020-12-30,2016,2020,5,FALSE,NA,NA,NA,NA,0,TRUE
BE-Vie,1996-08-01,2020-12-30,1997,2020,24,FALSE,1996-08-01,2009-03-24,1997,2008,12,FALSE,1996-08-01,2009-03-24,1997,2008,12,FALSE
BR-CST,2014-06-14,2015-07-31,2015,2014,0,TRUE,2014-06-14,2015-07-31,2015,2014,0,TRUE,NA,NA,NA,NA,0,TRUE
BR-Npw,2015-01-17,2017-06-30,2016,2016,1,FALSE,2015-01-17,2017-06-30,2016,2016,1,FALSE,NA,NA,NA,NA,0,TRUE
BR-Sa3,2001-01-01,2003-12-17,2001,2002,2,FALSE,2001-01-01,2003-12-17,2001,2002,2,FALSE,2001-01-01,2003-12-17,2001,2002,2,FALSE
BW-Ma1,2000-01-14,2000-12-30,2001,2000,0,TRUE,2000-01-01,2000-12-30,2000,2000,1,FALSE,2000-01-01,2000-12-30,2000,2000,1,FALSE
CA-ARB,2011-03-29,2015-12-22,2012,2014,3,FALSE,2011-03-27,2015-12-22,2012,2014,3,FALSE,NA,NA,NA,NA,0,TRUE
CA-ARF,2011-03-30,2015-12-30,2012,2014,3,FALSE,2011-03-29,2015-12-30,2012,2014,3,FALSE,NA,NA,NA,NA,0,TRUE
CA-Ca1,1997-12-09,2010-12-30,1998,2009,12,FALSE,1997-10-13,2010-12-30,1998,2009,12,FALSE,1997-10-13,2010-12-30,1998,2009,12,FALSE
CA-Ca2,2000-07-27,2010-12-30,2001,2009,9,FALSE,2000-07-27,2010-12-30,2001,2009,9,FALSE,2000-07-27,2010-12-30,2001,2009,9,FALSE
CA-Cbo,2008-02-12,2020-12-30,2009,2020,12,FALSE,2005-04-14,2020-12-30,2006,2020,15,FALSE,2005-04-14,2020-12-30,2006,2020,15,FALSE
CA-DB2,2019-11-22,2020-12-30,2020,2020,1,FALSE,2019-11-19,2020-12-30,2020,2020,1,FALSE,2019-11-19,2020-12-30,2020,2020,1,FALSE
CA-DBB,2016-02-14,2020-12-30,2017,2020,4,FALSE,2016-02-14,2020-12-30,2017,2020,4,FALSE,2016-02-14,2020-12-30,2017,2020,4,FALSE
CA-ER1,2015-06-18,2020-12-30,2016,2020,5,FALSE,2015-06-17,2020-12-30,2016,2020,5,FALSE,NA,NA,NA,NA,0,TRUE
CA-Gro,2003-08-28,2014-05-17,2004,2013,10,FALSE,2003-08-25,2014-05-17,2004,2013,10,FALSE,2003-08-25,2014-05-17,2004,2013,10,FALSE
CA-LP1,2007-05-04,2012-10-25,2008,2011,4,FALSE,2007-05-04,2012-10-25,2008,2011,4,FALSE,2007-05-04,2012-10-25,2008,2011,4,FALSE
CA-MA1,2009-05-23,2010-10-13,2010,2009,0,TRUE,2009-05-23,2010-10-13,2010,2009,0,TRUE,NA,NA,NA,NA,0,TRUE
CA-MA2,2009-05-15,2010-01-09,2010,2009,0,TRUE,2011-04-01,2011-11-29,2012,2010,-1,TRUE,2011-04-01,2011-11-29,2012,2010,-1,TRUE
CA-MA3,2011-04-05,2011-11-29,2012,2010,-1,TRUE,2011-04-01,2011-11-29,2012,2010,-1,TRUE,2011-04-01,2011-11-29,2012,2010,-1,TRUE
CA-NS1,2002-06-26,2005-09-26,2003,2004,2,FALSE,2002-06-26,2005-09-26,2003,2004,2,FALSE,NA,NA,NA,NA,0,TRUE
CA-NS2,2001-07-25,2004-11-14,2002,2003,2,FALSE,2001-07-25,2004-11-14,2002,2003,2,FALSE,NA,NA,NA,NA,0,TRUE
CA-NS3,2001-07-25,2005-09-23,2002,2004,3,FALSE,2001-07-25,2005-09-23,2002,2004,3,FALSE,NA,NA,NA,NA,0,TRUE
CA-NS4,2004-05-04,2005-09-27,2005,2004,0,TRUE,2003-01-01,2005-09-27,2003,2004,2,FALSE,NA,NA,NA,NA,0,TRUE
CA-NS5,2003-04-02,2005-09-24,2004,2004,1,FALSE,2003-04-01,2005-09-24,2004,2004,1,FALSE,NA,NA,NA,NA,0,TRUE
